"title","rental_duration","rental_category"
"Sleepy Japanese",4,"Moderate"
"Sleuth Orient",4,"Moderate"
"Sling Luke",5,"Moderate"
"Slipper Fidelity",5,"Moderate"
"Slums Duck",5,"Moderate"
"Smile Earring",4,"Moderate"
"Smoking Barbarella",7,"Long"
"Smoochy Control",7,"Long"
"Snatch Slipper",6,"Long"
"Snatchers Montezuma",4,"Moderate"
"Snowman Rollercoaster",3,"Short"
"Soldiers Evolution",7,"Long"
"Something Duck",4,"Moderate"
"Song Hedwig",3,"Short"
"Sons Interview",3,"Short"
"Sorority Queen",6,"Long"
"Soup Wisdom",6,"Long"
"South Wait",4,"Moderate"
"Spartacus Cheaper",4,"Moderate"
"Speakeasy Date",6,"Long"
"Speed Suit",7,"Long"
"Spice Sorority",5,"Moderate"
"Spiking Element",7,"Long"
"Spinal Rocky",7,"Long"
"Spirit Flintstones",7,"Long"
"Spirited Casualties",5,"Moderate"
"Splash Gump",5,"Moderate"
"Splendor Patton",5,"Moderate"
"Spoilers Hellfighters",4,"Moderate"
"Spy Mile",6,"Long"
"Squad Fish",3,"Short"
"Stage World",4,"Moderate"
"Stagecoach Armageddon",5,"Moderate"
"Stallion Sundance",5,"Moderate"
"Stampede Disturbing",5,"Moderate"
"Star Operation",5,"Moderate"
"State Wasteland",4,"Moderate"
"Steel Santa",4,"Moderate"
"Steers Armageddon",6,"Long"
"Stepmom Dream",7,"Long"
"Sting Personal",3,"Short"
"Stock Glass",7,"Long"
"Stone Fire",3,"Short"
"Storm Happiness",6,"Long"
"Story Side",7,"Long"
"Straight Hours",3,"Short"
"Strangelove Desire",4,"Moderate"
"Stranger Strangers",3,"Short"
"Tights Dawn",5,"Moderate"
"Strangers Graffiti",4,"Moderate"
"Streak Ridgemont",7,"Long"
"Streetcar Intentions",5,"Moderate"
"Strictly Scarface",3,"Short"
"Submarine Bed",5,"Moderate"
"Sugar Wonka",3,"Short"
"Suicides Silence",4,"Moderate"
"Suit Walls",3,"Short"
"Summer Scarface",5,"Moderate"
"Sun Confessions",5,"Moderate"
"Sundance Invasion",5,"Moderate"
"Sunrise League",3,"Short"
"Sunset Racer",6,"Long"
"Super Wyoming",5,"Moderate"
"Superfly Trip",5,"Moderate"
"Suspects Quills",4,"Moderate"
"Swarm Gold",4,"Moderate"
"Sweden Shining",6,"Long"
"Timberland Sky",3,"Short"
"Sweet Brotherhood",3,"Short"
"Sweethearts Suspects",3,"Short"
"Tadpole Park",6,"Long"
"Talented Homicide",6,"Long"
"Tarzan Videotape",3,"Short"
"Taxi Kick",4,"Moderate"
"Teen Apollo",3,"Short"
"Telegraph Voyage",3,"Short"
"Telemark Heartbreakers",6,"Long"
"Temple Attraction",5,"Moderate"
"Tenenbaums Command",4,"Moderate"
"Tequila Past",6,"Long"
"Terminator Club",5,"Moderate"
"Texas Watch",7,"Long"
"Theory Mermaid",5,"Moderate"
"Thief Pelican",5,"Moderate"
"Thin Sagebrush",5,"Moderate"
"Ties Hunger",3,"Short"
"Titanic Boondock",3,"Short"
"Titans Jerk",4,"Moderate"
"Tomatoes Hellfighters",6,"Long"
"Tomorrow Hustler",3,"Short"
"Tootsie Pilot",3,"Short"
"Torque Bound",3,"Short"
"Tourist Pelican",4,"Moderate"
"Towers Hurricane",7,"Long"
"Town Ark",6,"Long"
"Tracy Cider",3,"Short"
"Trading Pinocchio",6,"Long"
"Traffic Hobbit",5,"Moderate"
"Train Bunch",3,"Short"
"Trainspotting Strangers",7,"Long"
"Tramp Others",4,"Moderate"
"Translation Summer",4,"Moderate"
"Trap Guys",3,"Short"
"Treasure Command",3,"Short"
"Treatment Jekyll",3,"Short"
"Trip Newton",7,"Long"
"Trojan Tomorrow",3,"Short"
"Troopers Metal",3,"Short"
"Trouble Date",6,"Long"
"Truman Crazy",7,"Long"
"Turn Star",3,"Short"
"Tuxedo Mile",3,"Short"
"Twisted Pirates",4,"Moderate"
"Tycoon Gathering",3,"Short"
"Unbreakable Karate",3,"Short"
"Uncut Suicides",7,"Long"
"Undefeated Dalmations",7,"Long"
"Unfaithful Kill",7,"Long"
"Unforgiven Zoolander",7,"Long"
"United Pilot",3,"Short"
"Untouchables Sunrise",5,"Moderate"
"Uprising Uptown",6,"Long"
"Uptown Young",5,"Moderate"
"Usual Untouchables",5,"Moderate"
"Vacation Boondock",4,"Moderate"
"Valentine Vanishing",7,"Long"
"Valley Packer",3,"Short"
"Vampire Whale",4,"Moderate"
"Vanilla Day",7,"Long"
"Vanished Garden",5,"Moderate"
"Vanishing Rocky",3,"Short"
"Varsity Trip",7,"Long"
"Velvet Terminator",3,"Short"
"Vertigo Northwest",4,"Moderate"
"Victory Academy",6,"Long"
"Videotape Arsenic",4,"Moderate"
"Vietnam Smoochy",7,"Long"
"Villain Desperate",4,"Moderate"
"Virgin Daisy",6,"Long"
"Virginian Pluto",5,"Moderate"
"Virtual Spoilers",3,"Short"
"Vision Torque",5,"Moderate"
"Voice Peach",6,"Long"
"Volcano Texas",6,"Long"
"Volume House",7,"Long"
"Voyage Legally",6,"Long"
"Wagon Jaws",7,"Long"
"Wait Cider",3,"Short"
"Wake Jaws",7,"Long"
"Walls Artist",7,"Long"
"Wanda Chamber",7,"Long"
"War Notting",7,"Long"
"Wardrobe Phantom",6,"Long"
"Warlock Werewolf",6,"Long"
"Wars Pluto",5,"Moderate"
"Wash Heavenly",7,"Long"
"Wasteland Divine",7,"Long"
"Watch Tracy",5,"Moderate"
"Waterfront Deliverance",4,"Moderate"
"Watership Frontier",6,"Long"
"Wedding Apollo",3,"Short"
"Weekend Personal",5,"Moderate"
"Werewolf Lola",6,"Long"
"West Lion",4,"Moderate"
"Westward Seabiscuit",7,"Long"
"Whale Bikini",4,"Moderate"
"Whisperer Giant",4,"Moderate"
"Wife Turn",3,"Short"
"Wild Apollo",4,"Moderate"
"Willow Tracy",6,"Long"
"Wind Phantom",6,"Long"
"Window Side",3,"Short"
"Wisdom Worker",3,"Short"
"Witches Panic",6,"Long"
"Wizard Coldblooded",4,"Moderate"
"Wolves Desire",7,"Long"
"Women Dorado",4,"Moderate"
"Won Dares",7,"Long"
"Wonderful Drop",3,"Short"
"Wonderland Christmas",4,"Moderate"
"Wonka Sea",6,"Long"
"Words Hunter",3,"Short"
"Worker Tarzan",7,"Long"
"Working Microcosmos",4,"Moderate"
"World Leathernecks",3,"Short"
"Worst Banger",4,"Moderate"
"Wrath Mile",5,"Moderate"
"Wrong Behavior",6,"Long"
"Wyoming Storm",6,"Long"
"Yentl Idaho",5,"Moderate"
"Young Language",6,"Long"
"Youth Kick",4,"Moderate"
"Zhivago Core",6,"Long"
"Zoolander Fiction",5,"Moderate"
"Zorro Ark",3,"Short"
